Country,Year,Value
Austria,1993,60692.13
Austria,1994,61066.64
Austria,1995,64044.06
Austria,1996,67388.55
Austria,1997,67285.13
Austria,1998,66920.03
Austria,1999,65671.31
Austria,2000,66171.72
Austria,2001,70171.32
Austria,2002,71974.94
Austria,2003,77401.89
Austria,2004,77699.21
Austria,2005,79097.4
Austria,2006,76817.41
Austria,2007,74117.8
Austria,2008,73495.47
Austria,2009,67315.33
Austria,2010,72017.32
Austria,2011,69909.26
Austria,2012,67282.92
Austria,2013,67776.04
Austria,2014,64175.9
Austria,2015,66365.64
Austria,2016,67226.57
Austria,2017,69608.67
Austria,2018,66571.89
Austria,2019,67956.16
Austria,2020,62121.25
Austria,2021,66018.63
Austria,1990,11318.85
Austria,1991,11199.92
Austria,1992,10893.5
Austria,1993,10937.03
Austria,1994,10605.4
Austria,1995,10513.79
Austria,1996,10168.6
Austria,1997,9838.05
Austria,1998,9649.96
Austria,1999,9452.01
Austria,2000,9217.85
Austria,2001,9021.74
Austria,2002,8864.24
Austria,2003,8783.49
Austria,2004,8775.22
Austria,2005,8514.25
Austria,2006,8379.43
Austria,2007,8245.19
Austria,2008,8082.37
Austria,2009,7957.54
Austria,2010,7835.56
Austria,2011,7604.12
Austria,2012,7469.67
Austria,2013,7348.95
Austria,2014,7190.58
Austria,2015,7103.22
Austria,2016,7023.27
Austria,2017,6993.4
Austria,2018,6757.87
Austria,2019,6608.55
Austria,2020,6502.9
Austria,2021,6499.26
Austria,1990,4011.19
Austria,1991,4037.49
Austria,1992,3843.12
Austria,1993,3849.66
Austria,1994,3797.62
Austria,1995,3856.17
Austria,1996,3872.2
Austria,1997,3882.96
Austria,1998,3922.41
Austria,1999,3899.11
Austria,2000,3871.5
Austria,2001,3748.04
Austria,2002,3736.09
Austria,2003,3722.19
Austria,2004,3189.7
Austria,2005,3188.21
Austria,2006,3194.59
Austria,2007,3210.57
Austria,2008,3362.01
Austria,2009,3163.79
Austria,2010,2994.28
Austria,2011,3087.34
Austria,2012,3061.23
Austria,2013,3045.88
Austria,2014,3127.41
Austria,2015,3142.2
Austria,2016,3230.68
Austria,2017,3174.93
Austria,2018,3135.73
Austria,2019,3130.6
Austria,2020,3088.92
Austria,2021,3122.74
Austria,1990,2.04
Austria,1991,3.26
Austria,1992,4.72
Austria,1993,214.87
Austria,1994,236.91
Austria,1995,324.03
Austria,1996,390.65
Austria,1997,473.12
Austria,1998,564.81
Austria,1999,656.28
Austria,2000,676.69
Austria,2001,808.34
Austria,2002,957.24
Austria,2003,1026.65
Austria,2004,1095
Austria,2005,1103.52
Austria,2006,1112.88
Austria,2007,1161.82
Austria,2008,1207.53
Austria,2009,1311.31
Austria,2010,1425.57
Austria,2011,1517.98
Austria,2012,1599.07
Austria,2013,1689.2
Austria,2014,1787.24
Austria,2015,1896.86
Austria,2016,1884.44
Austria,2017,1892.29
Austria,2018,1945.85
Austria,2019,1801.57
Austria,2020,1704.97
Austria,2021,1485.82
Austria,1990,1062.93
Austria,1991,1071.84
Austria,1992,458.9
Austria,1993,57.32
Austria,1994,64.07
Austria,1995,75.28
Austria,1996,72.47
Austria,1997,106.08
Austria,1998,50.27
Austria,1999,71.59
Austria,2000,79.61
Austria,2001,106.13
Austria,2002,93.07
Austria,2003,115.59
Austria,2004,145.06
Austria,2005,150.06
Austria,2006,156.33
Austria,2007,208.7
Austria,2008,188.49
Austria,2009,32.63
Austria,2010,70.51
Austria,2011,66.43
Austria,2012,45.95
Austria,2013,44.62
Austria,2014,48.02
Austria,2015,44.89
Austria,2016,45.65
Austria,2017,39.75
Austria,2018,29.4
Austria,2019,34.7
Austria,2020,27.02
Austria,2021,23.4
Austria,1990,485.06
Austria,1991,633
Austria,1992,676.42
Austria,1993,766.85
Austria,1994,954.61
Austria,1995,1133.88
Austria,1996,1213.03
Austria,1997,1119.75
Austria,1998,896.59
Austria,1999,697.13
Austria,2000,592.17
Austria,2001,648.65
Austria,2002,632.13
Austria,2003,566.31
Austria,2004,498.87
Austria,2005,508.78
Austria,2006,467.38
Austria,2007,378.27
Austria,2008,384.9
Austria,2009,352.17
Austria,2010,346.18
Austria,2011,316.78
Austria,2012,321.45
Austria,2013,314.69
Austria,2014,323.62
Austria,2015,319.05
Austria,2016,404.9
Austria,2017,412.21
Austria,2018,398.18
Austria,2019,449.82
Austria,2020,454.52
Austria,2021,370.53
Belgium,1990,145844.47
Belgium,1991,148579.58
Belgium,1992,148077.75
Belgium,1993,146896.93
Belgium,1994,151445.45
Belgium,1995,153579.82
Belgium,1996,157227.95
Belgium,1997,148820.67
Belgium,1998,154012.89
Belgium,1999,147732.82
Belgium,2000,148877.33
Belgium,2001,147319.08
Belgium,2002,147415.07
Belgium,2003,147731.49
Belgium,2004,148523.92
Belgium,2005,145418.35
Belgium,2006,142715.6
Belgium,2007,139090.79
Belgium,2008,139030.91
Belgium,2009,126438.52
Belgium,2010,133644.3
Belgium,2011,123192.99
Belgium,2012,120443.61
Belgium,2013,120523.72
Belgium,2014,114878.85
Belgium,2015,118990.38
Belgium,2016,117419.57
Belgium,2017,116909.24
Belgium,2018,117584.92
Belgium,2019,116463.71
Belgium,2020,107272.65
Belgium,2021,110951.73
Belgium,1990,100
Belgium,1991,101.875
Belgium,1992,101.531
Belgium,1993,100.722
Belgium,1994,103.84
Belgium,1995,105.304
Belgium,1996,107.805
Belgium,1997,102.041
Belgium,1998,105.601
Belgium,1999,101.295
Belgium,2000,102.08
Belgium,2001,101.011
Belgium,2002,101.077
Belgium,2003,101.294
Belgium,2004,101.837
Belgium,2005,99.708
Belgium,2006,97.855
Belgium,2007,95.369
Belgium,2008,95.328
Belgium,2009,86.694
Belgium,2010,91.635
Belgium,2011,84.469
Belgium,2012,82.584
Belgium,2013,82.639
Belgium,2014,78.768
Belgium,2015,81.587
Belgium,2016,80.51
Belgium,2017,80.16
Belgium,2018,80.624
Belgium,2019,79.855
Belgium,2020,73.553
Belgium,2021,76.075
Belgium,1990,14.632
Belgium,1991,14.851
Belgium,1992,14.741
Belgium,1993,14.567
Belgium,1994,14.971
Belgium,1995,15.151
Belgium,1996,15.48
Belgium,1997,14.617
Belgium,1998,15.095
Belgium,1999,14.446
Belgium,2000,14.523
Belgium,2001,14.322
Belgium,2002,14.267
Belgium,2003,14.238
Belgium,2004,14.252
Belgium,2005,13.878
Belgium,2006,13.53
Belgium,2007,13.09
Belgium,2008,12.981
Belgium,2009,11.711
Belgium,2010,12.266
Belgium,2011,11.206
Belgium,2012,10.882
Belgium,2013,10.834
Belgium,2014,10.276
Belgium,2015,10.588
Belgium,2016,10.396
Belgium,2017,10.301
Belgium,2018,10.311
Belgium,2019,10.161
Belgium,2020,9.322
Belgium,2021,9.604
Belgium,1990,120292.8
Belgium,1991,123362.63
Belgium,1992,122488.49
Belgium,1993,121423.88
Belgium,1994,124796.75
Belgium,1995,125936.29
Belgium,1996,129478.74
Belgium,1997,123990.62
Belgium,1998,130223.5
Belgium,1999,124681.14
Belgium,2000,126721.54
Belgium,2001,126066.06
Belgium,2002,126863.01
Belgium,2003,128248.33
Belgium,2004,128770.82
Belgium,2005,125627.92
Belgium,2006,123872.98
Belgium,2007,120463.27
Belgium,2008,120170.04
Belgium,2009,107765.1
Belgium,2010,114604.11
Belgium,2011,105068.56
Belgium,2012,102404.52
Belgium,2013,102714.75
Belgium,2014,97029.25
Belgium,2015,101145.63
Belgium,2016,99623.03
Belgium,2017,99055.04
Belgium,2018,99967.32
Belgium,2019,99470.26
Belgium,2020,91101.39
Belgium,2021,95668.08
Belgium,1990,12899.99
Belgium,1991,12855.27
Belgium,1992,12768.7
Belgium,1993,12547.68
Belgium,1994,12582.35
Belgium,1995,12653.81
Belgium,1996,12500.4
Belgium,1997,12368.93
Belgium,1998,12174.44
Belgium,1999,11905.51
Belgium,2000,11443.94
Belgium,2001,10972.6
Belgium,2002,10523.48
Belgium,2003,9941.88
Belgium,2004,9876.95
Belgium,2005,9630.15
Belgium,2006,9532.72
Belgium,2007,9416.1
Belgium,2008,9228.78
Belgium,2009,9157.09
Belgium,2010,9123.26
Belgium,2011,8861.16
Belgium,2012,8819.25
Belgium,2013,8650.41
Belgium,2014,8477.63
Belgium,2015,8487.19
Belgium,2016,8446.15
Belgium,2017,8263.19
Belgium,2018,8181.2
Belgium,2019,8095.94
Belgium,2020,7971.61
Belgium,2021,7870.1
Belgium,1990,8950.48
Belgium,1991,8831.88
Belgium,1992,8586.54
Belgium,1993,8830.19
Belgium,1994,9189.11
Belgium,1995,9618.19
Belgium,1996,10007.98
Belgium,1997,9810.03
Belgium,1998,9707.21
Belgium,1999,9712.12
Belgium,2000,9071.03
Belgium,2001,8724.28
Belgium,2002,8416.45
Belgium,2003,7616.01
Belgium,2004,7763.18
Belgium,2005,7545.29
Belgium,2006,6656.71
Belgium,2007,6180.8
Belgium,2008,6153.38
Belgium,2009,6240.79
Belgium,2010,6696.47
Belgium,2011,5626.73
Belgium,2012,5599.38
Belgium,2013,5456.16
Belgium,2014,5460.11
Belgium,2015,5328.09
Belgium,2016,5085.54
Belgium,2017,5243.33
Belgium,2018,5010.73
Belgium,2019,4946.17
Belgium,2020,4787.46
Belgium,2021,4733.21
Belgium,1992,362.35
Belgium,1993,368.86
Belgium,1994,387.83
Belgium,1995,449.34
Belgium,1996,539.27
Belgium,1997,657.93
Belgium,1998,813.75
Belgium,1999,887.95
Belgium,2000,1088.73
Belgium,2001,1172.25
Belgium,2002,1401.02
Belgium,2003,1587.67
Belgium,2004,1672.82
Belgium,2005,2365.33
Belgium,2006,2469.19
Belgium,2007,2838.18
Belgium,2008,2833.57
Belgium,2009,2731.87
Belgium,2010,3015.44
Belgium,2011,3370.04
Belgium,2012,3389.48
Belgium,2013,3452.04
Belgium,2014,3686.91
Belgium,2015,3795.65
Belgium,2016,3775.27
Belgium,2017,4072.86
Belgium,2018,4206.09
Belgium,2019,3701.95
Belgium,2020,3111.96
Belgium,2021,2397.3
Belgium,1990,2034.77
Belgium,1991,1947.01
Belgium,1992,2122.97
Belgium,1993,2042.61
Belgium,1994,2451.73
Belgium,1995,2716.5
Belgium,1996,2578.44
Belgium,1997,1437.51
Belgium,1998,788.69
Belgium,1999,387.45
Belgium,2000,403.25
Belgium,2001,240.08
Belgium,2002,90.95
Belgium,2003,232.17
Belgium,2004,346.83
Belgium,2005,155.81
Belgium,2006,104.46
Belgium,2007,110.59
Belgium,2008,554.35
Belgium,2009,446.74
Belgium,2010,95.6
Belgium,2011,151.5
Belgium,2012,115.16
Belgium,2013,128.28
Belgium,2014,126.16
Belgium,2015,137.54
Belgium,2016,388.44
Belgium,2017,169.61
Belgium,2018,121.19
Belgium,2019,139.09
Belgium,2020,184.8
Belgium,2021,182
Belgium,1990,1666.44
Belgium,1991,1582.79
Belgium,1992,1748.7
Belgium,1993,1683.71
Belgium,1994,2037.69
Belgium,1995,2205.7
Belgium,1996,2123.13
Belgium,1997,555.66
Belgium,1998,305.31
Belgium,1999,158.65
Belgium,2000,148.83
Belgium,2001,143.8
Belgium,2002,120.16
Belgium,2003,105.42
Belgium,2004,93.33
Belgium,2005,93.84
Belgium,2006,79.55
Belgium,2007,81.86
Belgium,2008,90.17
Belgium,2009,96.39
Belgium,2010,108.17
Belgium,2011,112.69
Belgium,2012,114.78
Belgium,2013,120.92
Belgium,2014,98.15
Belgium,2015,95.48
Belgium,2016,100.47
Belgium,2017,104.62
Belgium,2018,97.77
Belgium,2019,109.25
Belgium,2020,107.31
Belgium,2021,95.79
Canada,1990,588602.82
Canada,1991,582031.22
Canada,1992,599242.66
Canada,1993,601743.65
Canada,1994,621934.13
Canada,1995,639070.29
Canada,1996,660767.8
Canada,1997,676394.22
Canada,1998,682434.83
Canada,1999,694516.94
Canada,2000,719463.71
Canada,2001,710171.84
Canada,2002,715489.77
Canada,2003,734140.55
Canada,2004,736725.46
Canada,2005,732220.09
Canada,2006,725289.22
Canada,2007,748070.09
Canada,2008,730801.24
Canada,2009,689549.32
Canada,2010,701867.55
Canada,2011,711312.82
Canada,2012,716370.5
Canada,2013,723096.3
Canada,2014,720195.46
Canada,2015,722918.27
Canada,2016,704927.87
Canada,2017,712233.8
Canada,2018,724615.78
Canada,2019,723679.29
Canada,2020,658788.39
Canada,2021,670428.3
Canada,1990,100
Canada,1991,98.884
Canada,1992,101.808
Canada,1993,102.233
Canada,1994,105.663
Canada,1995,108.574
Canada,1996,112.26
Canada,1997,114.915
Canada,1998,115.942
Canada,1999,117.994
Canada,2000,122.233
Canada,2001,120.654
Canada,2002,121.557
Canada,2003,124.726
Canada,2004,125.165
Canada,2005,124.4
Canada,2006,123.222
Canada,2007,127.093
Canada,2008,124.159
Canada,2009,117.15
Canada,2010,119.243
Canada,2011,120.848
Canada,2012,121.707
Canada,2013,122.85
Canada,2014,122.357
Canada,2015,122.819
Canada,2016,119.763
Canada,2017,121.004
Canada,2018,123.108
Canada,2019,122.949
Canada,2020,111.924
Canada,2021,113.902
Canada,1990,21.256
Canada,1991,20.759
Canada,1992,21.121
Canada,1993,20.978
Canada,1994,21.446
Canada,1995,21.81
Canada,1996,22.316
Canada,1997,22.617
Canada,1998,22.631
Canada,1999,22.845
Canada,2000,23.446
Canada,2001,22.893
Canada,2002,22.815
Canada,2003,23.2
Canada,2004,23.065
Canada,2005,22.709
Canada,2006,22.268
Canada,2007,22.745
Canada,2008,21.981
Canada,2009,20.505
Canada,2010,20.64
Canada,2011,20.714
Canada,2012,20.636
Canada,2013,20.611
Canada,2014,20.323
Canada,2015,20.248
Canada,2016,19.522
Canada,2017,19.489
Canada,2018,19.55
Canada,2019,19.246
Canada,2020,17.32
Canada,2021,17.529
Canada,1990,458503.1
Canada,1991,450159.6
Canada,1992,464012.83
Canada,1993,464554.17
Canada,1994,479033
Canada,1995,491825.7
Canada,1996,508196.66
Canada,1997,522577.29
Canada,1998,530276.27
Canada,1999,544482.08
Canada,2000,567096.1
Canada,2001,559147.04
Canada,2002,564373.84
Canada,2003,581427.17
Canada,2004,579689.42
Canada,2005,574763.65
Canada,2006,568584.51
Canada,2007,593755.25
Canada,2008,576808.66
Canada,2009,544139.66
Canada,2010,556062.1
Canada,2011,565254.01
Canada,2012,565781.73
Canada,2013,569539.74
Canada,2014,566353.02
Canada,2015,570680.33
Canada,2016,557689.73
Canada,2017,566651.89
Canada,2018,577066.28
Canada,2019,578587.72
Canada,2020,522845.3
Canada,2021,537173.74
Canada,1990,83913.85
Canada,1991,85490.8
Canada,1992,89611.5
Canada,1993,92593.87
Canada,1994,96100.98
Canada,1995,100379.04
Canada,1996,104068.18
Canada,1997,106312.59
Canada,1998,107494.1
Canada,1999,108681.19
Canada,2000,110824.42
Canada,2001,110703.56
Canada,2002,110408.27
Canada,2003,110839.47
Canada,2004,113213.18
Canada,2005,114807.9
Canada,2006,116412.19
Canada,2007,113921.26
Canada,2008,112880.55
Canada,2009,106879.81
Canada,2010,107761.32
Canada,2011,107989.5
Canada,2012,110506.67
Canada,2013,111504.03
Canada,2014,112564.72
Canada,2015,109975.16
Canada,2016,104732.08
Canada,2017,104067.3
Canada,2018,103864.66
Canada,2019,101367.69
Canada,2020,91379.82
Canada,2021,90509.76
Canada,1990,34431.19
Canada,1991,33605.49
Canada,1992,34652.45
Canada,1993,34766.19
Canada,1994,37463.1
Canada,1995,37782.67
Canada,1996,39421.93
Canada,1997,38179.98
Canada,1998,34210.42
Canada,1999,31412.5
Canada,2000,30900.64
Canada,2001,30557.11
Canada,2002,30621.61
Canada,2003,31752.51
Canada,2004,33376.11
Canada,2005,32285.51
Canada,2006,30389.4
Canada,2007,31056.02
Canada,2008,31730.99
Canada,2009,28735.53
Canada,2010,28006.42
Canada,2011,27472.73
Canada,2012,28731.87
Canada,2013,29887.61
Canada,2014,28830.27
Canada,2015,29778.17
Canada,2016,30060.82
Canada,2017,29346.77
Canada,2018,30558.85
Canada,2019,30550.13
Canada,2020,31523.43
Canada,2021,30231.4
Canada,1990,970.54
Canada,1991,1056.66
Canada,1992,829.78
Canada,1995,460.51
Canada,1996,810.62
Canada,1997,1122.3
Canada,1998,1620.11
Canada,1999,2160.36
Canada,2000,2754.84
Canada,2001,3159.3
Canada,2002,3607.07
Canada,2003,3979.86
Canada,2004,4584.77
Canada,2005,5107.03
Canada,2006,5391.08
Canada,2007,6077.57
Canada,2008,6135.67
Canada,2009,6909.97
Canada,2010,7729.05
Canada,2011,8592.51
Canada,2012,9084.09
Canada,2013,10075.1
Canada,2014,10950.21
Canada,2015,11041.05
Canada,2016,11305.16
Canada,2017,11097.43
Canada,2018,12153.5
Canada,2019,12111.07
Canada,2020,11918.85
Canada,2021,11433.41
Canada,1990,7557.9
Canada,1991,8033.11
Canada,1992,7578.68
Canada,1993,7455.58
Canada,1994,6895.01
Canada,1995,6346.94
Canada,1996,6501.49
Canada,1997,6374.16
Canada,1998,6476.18
Canada,1999,5370.47
Canada,2000,4984.51
Canada,2001,4047.5
Canada,2002,3462.95
Canada,2003,3489.89
Canada,2004,3521.87
Canada,2005,3838.44
Canada,2006,2985.12
Canada,2007,2533.62
Canada,2008,2600.86
Canada,2009,2510.32
Canada,2010,1861.28
Canada,2011,1663.56
Canada,2012,1804.89
Canada,2013,1624.67
Canada,2014,1095.31
Canada,2015,976.68
Canada,2016,773.81
Canada,2017,754.76
Canada,2018,629.52
Canada,2019,618.15
Canada,2020,828.56
Canada,2021,752.88
Canada,1990,3225.92
Canada,1991,3685.24
Canada,1992,2557.11
Canada,1993,2373.54
Canada,1994,2441.74
Canada,1995,2275.16
Canada,1996,1768.65
Canada,1997,1827.63
Canada,1998,2357.48
Canada,1999,2410.1
Canada,2000,2902.96
Canada,2001,2557.1
Canada,2002,3015.81
Canada,2003,2651.43
Canada,2004,2339.9
Canada,2005,1417.36
Canada,2006,1526.74
Canada,2007,726.19
Canada,2008,644.33
Canada,2009,373.87
Canada,2010,447.22
Canada,2011,340.36
Canada,2012,461.1
Canada,2013,465
Canada,2014,401.93
Canada,2015,466.87
Canada,2016,366.13
Canada,2017,315.42
Canada,2018,342.62
Canada,2019,444.2
Canada,2020,291.81
Canada,2021,326.5
Czechia,1990,198775.27
Czechia,1991,180859.67
Czechia,1992,175034.85
Czechia,1993,168323.67
Czechia,1994,159410.64
Czechia,1995,158371.95
Czechia,1996,161709.65
Czechia,1997,157200.37
Czechia,1998,151034.59
Czechia,1999,141062.01
Czechia,2000,151139.21
Czechia,2001,150760.15
Czechia,2002,146965.75
Czechia,2003,150152.89
Czechia,2004,151009.99
Czechia,2005,148934.99
Czechia,2006,150166.77
Czechia,2007,151829.89
Czechia,2008,146768.59
Czechia,2009,137280.29
Czechia,2010,140167.57
Czechia,2011,138568
Czechia,2012,134610.18
Czechia,2013,129251.71
Czechia,2014,127080.04
Czechia,2015,128506.45
Czechia,2016,130106.97
Czechia,2017,130951.94
Czechia,2018,129180.06
Czechia,2019,123451.26
Czechia,2020,113072.05
